1,1,1,3.5,0,11.0,0,0,0,4,1,0,1,1,343,4,1,1,1,4,55,23,10
0,1,1,2.5,0,11.0,9,18,18,5,1,0,0,2,802,2,1,0,0,3,131,46,42
1,1,1,3.5,0,14.0,0,0,0,3,0,0,1,2,453,3.5,4,4,2,3,1404,1160,845
1,1,1,4.5,0,8.0,10,20,20,11,0,0,1,4,755,4.75,3,1,0,3.25,36,5,6
1,1,1,1.5,0,13.0,0,0,0,5,0,0,0,1,340,1,1,0,0,3,20,6,6
1,1,1,4.0,1,12.0,0,0,0,4,1,0,0,1,325,4,1,0,0,3,395,187,186
1,1,1,2.5,1,13.0,0,0,0,3,1,0,2,2,2027,1.5,7,2,1,3.5,2553,1417,1086
1,1,1,3.5,0,14.0,12,24,24,3,1,0,0,1,194,2,2,0,0,3,2019,1225,1170
1,1,1,2.5,1,13.0,0,0,0,4,0,0,0,1,1038,1,3,0,0,1,3,0,0
1,1,1,4.0,1,11.0,16,32,32,15,0,0,0,1,948,4,2,2,2,3,1626,1511,1625
1,1,1,3.5,0,14.0,11,22,22,8,1,0,0,2,1201,3,2,2,1,3,1024,617,593
1,1,1,4.0,1,13.0,12,24,24,5,0,0,0,1,743,5,2,1,2,3,9,2,5
0,1,1,3.5,1,13.0,7,14,14,6,0,0,0,1,1043,2,1,0,1,3,39,8,6
1,1,1,4.0,1,13.0,6,12,12,5,1,0,0,1,856,3,5,1,0,3,641,302,291
1,1,1,4.0,0,13.0,6,12,12,5,0,0,0,0,0,0,0,0,0,0,0,0,
1,1,1,4.5,0,13.0,40,80,80,38,6,0,3,21,758,4.62,2,1,1,3.62,332,178,95
1,1,1,2.0,0,13.0,0,0,0,6,1,0,0,2,799,2.5,2,1,1,3,84,30,19
1,1,1,5.0,1,13.0,0,0,0,5,1,0,0,2,1137,4.5,4,1,0,4.5,85,29,13
1,1,1,3.5,0,14.0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,
1,1,1,2.5,1,13.0,4,8,8,8,1,0,1,2,886,3,2,1,1,3,697,469,305
1,1,1,2.5,0,11.0,0,0,0,5,0,0,1,2,544,3,1,0,0,3.5,12,3,3
1,1,1,4.0,0,12.0,21,42,42,7,0,0,1,1,567,5,1,1,0,3,9,3,1
1,1,1,1.0,0,13.0,0,0,0,3,0,0,1,3,1445,1.67,1,0,0,2.33,19,2,1
1,1,1,2.0,1,4.0,15,30,30,5,1,0,2,3,1185,1,1,1,1,2.67,54,20,20
1,1,1,2.5,1,4.0,0,0,0,3,1,0,0,1,763,2,4,3,0,3,1098,684,570
1,1,1,3.5,1,13.0,40,80,80,46,9,0,6,20,933,3.25,2,1,0,3.1,937,555,273
1,1,1,3.5,1,5.0,66,132,132,16,7,0,4,8,472,3,1,1,0,3.12,1136,654,505
1,1,1,3.0,1,5.0,29,58,58,8,2,0,0,2,1332,2.5,2,1,1,3,2758,1510,1128
0,1,1,4.0,1,4.0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,
1,1,1,2.0,1,5.0,50,100,100,36,3,0,3,12,538,1.42,1,0,1,2.83,268,135,105
1,1,0,4.5,1,5.0,0,0,0,9,0,0,1,4,899,5,2,0,1,3.5,52,15,13
1,1,1,2.5,1,5.0,48,96,96,6,3,0,1,4,438,2.25,2,2,2,3.25,1072,633,597
